Water Pump ID,Water Source Type,Water Quality,Distance to Nearest Town,Population Served,Installation Year,Funder,Payment Type,Water Pump Age,Pump Type,GPS Coordinates,Functioning Status
WP001,Lake,Contaminated,47.0,,2009.0,Oxfam,Free,15.0,Solar Pump,"(-19.26413935191161, 26.1843664155277)",Not Functioning
WP002,,,38.0,20000.0,2020.0,,Free,4.0,Motorized Pump,"(-18.284479129734283, 28.63347375195178)",Not Functioning
WP003,Lake,Contaminated,46.0,26000.0,2016.0,USAID,Free,8.0,Motorized Pump,"(-20.351857861441424, 27.20895749234134)",Not Functioning
WP004,Well,Clean,56.0,23000.0,2019.0,USAID,Free,5.0,Solar Pump,"(-23.91205949202365, 25.164536155017522)",Not Functioning
WP005,Well,Contaminated,35.0,24000.0,1996.0,UNICEF,,28.0,Motorized Pump,"(-23.066487429894064, 19.08372183038201)",Not Functioning
,Well,,,25000.0,2013.0,,Free,11.0,Motorized Pump,,Functioning
WP007,Well,Clean,52.0,24000.0,1994.0,Red Cross,Pay per use,30.0,Motorized Pump,"(-19.92822593215424, 26.580761609943607)",Functioning
WP008,Well,Contaminated,47.0,19000.0,2016.0,Red Cross,Free,8.0,,"(-21.752361967176366, 26.19890795716977)",Functioning
WP009,Lake,Contaminated,47.0,24000.0,,Red Cross,Free,26.0,Motorized Pump,"(-18.94897666765121, 27.946451262035467)",Not Functioning
WP010,Well,Contaminated,39.0,27000.0,,USAID,Free,21.0,Solar Pump,"(-23.493860326691426, 21.774521637863746)",Not Functioning
WP011,Well,Contaminated,46.0,28000.0,1994.0,Red Cross,Pay per use,30.0,Motorized Pump,"(-19.42066861212418, 21.025567936628804)",Not Functioning
,Well,Contaminated,,21000.0,2005.0,,Free,,Solar Pump,"(-23.69442047399784, 25.21786348211961)",Not Functioning
,Lake,Clean,34.0,24000.0,2011.0,Red Cross,Pay per use,13.0,Solar Pump,"(-21.94058921375008, 27.658140995004665)",Not Functioning
WP014,,Contaminated,42.0,,1995.0,UNICEF,Pay per use,29.0,Solar Pump,"(-21.286298437229433, 22.955260840662927)",Not Functioning
WP015,Well,Clean,45.0,23000.0,1994.0,Red Cross,Free,,Motorized Pump,"(-20.252941921329917, 27.645644101583258)",Not Functioning
WP016,Well,Contaminated,35.0,23000.0,2013.0,Red Cross,Free,,Motorized Pump,"(-18.69476528054609, 27.918262322822258)",Not Functioning
WP017,Lake,Contaminated,47.0,23000.0,2010.0,,Free,14.0,,"(-21.687974171945392, 22.827624701124876)",Not Functioning
WP018,River,Clean,,,1999.0,Red Cross,Pay per use,25.0,Solar Pump,"(-19.645600319036824, 27.393373370907245)",Not Functioning
WP019,Well,Contaminated,33.0,,2015.0,Oxfam,Free,9.0,Hand Pump,"(-21.190249898563764, 24.62835453807817)",Not Functioning
WP020,Lake,Contaminated,36.0,25000.0,,USAID,Free,,Motorized Pump,"(-21.66441345151287, 26.577421310230825)",Not Functioning
,Lake,Clean,37.0,19000.0,2019.0,USAID,Free,5.0,Motorized Pump,,Not Functioning
WP022,River,Clean,51.0,23000.0,1995.0,Oxfam,Free,29.0,Motorized Pump,"(-23.29365282351456, 26.485919827425803)",
WP023,Borehole,,50.0,22000.0,2004.0,,Free,20.0,Motorized Pump,"(-20.937303569269194, 22.8498513313727)",Functioning
WP024,Borehole,Contaminated,36.0,22000.0,1994.0,Red Cross,Free,30.0,Motorized Pump,"(-20.935290331074263, 25.88903448605903)",Functioning
,Lake,Contaminated,45.0,28000.0,,Oxfam,Pay per use,14.0,Solar Pump,"(-21.884868295228706, 27.029503656707703)",Not Functioning
WP026,,Clean,,26000.0,2001.0,Red Cross,Free,23.0,Motorized Pump,"(-22.674127153124502, 21.181817014751925)",Functioning
WP027,Lake,Contaminated,28.0,24000.0,1991.0,Red Cross,Free,,Motorized Pump,"(-20.70475887272235, 25.1647775978249)",Not Functioning
WP028,Well,Contaminated,,20000.0,1996.0,Red Cross,Pay per use,28.0,Motorized Pump,"(-21.660280951259793, 20.062434459127893)",Functioning
WP029,,Contaminated,47.0,14000.0,,Red Cross,,8.0,Motorized Pump,"(-20.999094258867157, 26.139468303318314)",Functioning
WP030,Well,Contaminated,38.0,24000.0,2004.0,Red Cross,Free,20.0,Solar Pump,"(-21.159186856046947, 26.556438376430542)",Not Functioning
WP031,Well,,44.0,21000.0,1999.0,Red Cross,Free,25.0,Motorized Pump,"(-21.18032453091622, 26.620292643519175)",Not Functioning
WP032,Well,Contaminated,34.0,24000.0,2007.0,USAID,Free,17.0,Solar Pump,"(-19.77893887964495, 25.865392101986068)",Not Functioning
WP033,Lake,Contaminated,45.0,25000.0,,USAID,Free,18.0,,"(-22.68482540928745, 21.707461557197504)",Not Functioning
WP034,Well,Contaminated,44.0,27000.0,,Red Cross,Free,,,"(-19.685919066607074, 26.612917518515825)",Functioning
WP035,Well,Contaminated,,19000.0,1996.0,USAID,Free,28.0,Solar Pump,"(-18.543314036546022, 27.31907543596665)",Not Functioning
WP036,Lake,Contaminated,42.0,23000.0,1996.0,UNICEF,Pay per use,28.0,Motorized Pump,"(-20.85698920049786, 22.029697278231225)",Not Functioning
WP037,Lake,Clean,34.0,21000.0,2005.0,USAID,Free,,Solar Pump,"(-18.521302773052085, 25.304624990848417)",Not Functioning
WP038,Well,Contaminated,39.0,,2018.0,Red Cross,Pay per use,6.0,,,Functioning
WP039,Well,Contaminated,33.0,25000.0,1995.0,,Free,29.0,Motorized Pump,"(-21.259999089852226, 24.748700457510967)",Not Functioning
WP040,Well,Contaminated,,29000.0,2019.0,,,5.0,,"(-22.109580281397754, 19.760179350606748)",
WP041,Well,Clean,,23000.0,2006.0,USAID,Free,18.0,,"(-19.139326178331437, 25.711201041470765)",Functioning
WP042,Lake,Clean,,17000.0,,Red Cross,Free,9.0,,"(-18.99580575499575, 25.241676243935267)",Not Functioning
WP043,Well,,,23000.0,2000.0,USAID,,24.0,Solar Pump,"(-18.773858455107348, 27.60728203170946)",Not Functioning
WP044,Well,Contaminated,,19000.0,2001.0,UNICEF,Free,23.0,Motorized Pump,"(-17.70337994468689, 28.371543618115993)",Functioning
WP045,Lake,Contaminated,35.0,23000.0,1997.0,Oxfam,Free,27.0,Motorized Pump,"(-19.307338356003918, 25.140391575797302)",Not Functioning
,Well,Clean,,22000.0,2006.0,Red Cross,Pay per use,18.0,Motorized Pump,"(-22.586870983209927, 21.320866528641176)",Functioning
WP047,Lake,Contaminated,46.0,19000.0,1993.0,USAID,Free,31.0,Motorized Pump,"(-19.814542869320945, 20.816601460432935)",Not Functioning
WP048,Well,Contaminated,,24000.0,2008.0,Oxfam,,16.0,Solar Pump,"(-20.713979394577695, 27.991180019149567)",Not Functioning
WP049,Lake,Clean,48.0,23000.0,2015.0,,Free,9.0,Solar Pump,,Not Functioning
WP050,,,38.0,23000.0,1998.0,Oxfam,Pay per use,,Solar Pump,,Not Functioning
,Well,Clean,31.0,22000.0,1997.0,,Free,27.0,Solar Pump,"(-19.003382851439582, 27.453326804245513)",Not Functioning
WP052,Well,Clean,44.0,25000.0,2008.0,USAID,Free,16.0,Motorized Pump,"(-23.51726756953887, 20.36568372940294)",Not Functioning
WP053,,,44.0,21000.0,1998.0,Oxfam,Free,,,"(-21.042240768777617, 24.443609751019967)",
WP054,Well,Contaminated,49.0,24000.0,1996.0,Oxfam,Free,28.0,Motorized Pump,"(-21.801973951492574, 19.167352685289394)",Functioning
WP055,Well,Contaminated,44.0,18000.0,2017.0,USAID,Pay per use,7.0,Motorized Pump,"(-18.92024777181622, 25.792197880831623)",
,Well,Contaminated,42.0,21000.0,1994.0,USAID,,30.0,Motorized Pump,"(-20.881495298915073, 25.713553535887893)",Not Functioning
WP057,,Contaminated,,31000.0,1995.0,UNICEF,Pay per use,29.0,Solar Pump,"(-21.26203556750582, 25.72661950846581)",Not Functioning
WP058,Lake,Contaminated,41.0,21000.0,2004.0,Red Cross,Free,20.0,Motorized Pump,"(-17.776806220691338, 28.32715802112511)",Not Functioning
WP059,Lake,Contaminated,54.0,23000.0,2014.0,USAID,Pay per use,10.0,Solar Pump,"(-23.263894471126825, 22.240866691104838)",Not Functioning
,Lake,Clean,,,2003.0,Red Cross,Pay per use,21.0,Solar Pump,"(-20.822781826522135, 21.162132053997908)",Not Functioning
WP061,Well,Contaminated,38.0,24000.0,2018.0,,Pay per use,6.0,Motorized Pump,,Functioning
WP062,Borehole,Clean,58.0,,2002.0,Oxfam,Free,22.0,Solar Pump,,Not Functioning
WP063,Well,Contaminated,35.0,26000.0,1991.0,USAID,Pay per use,33.0,,"(-23.862403456597132, 23.733642055606175)",Functioning
WP064,Lake,Contaminated,43.0,20000.0,2018.0,USAID,Free,6.0,Motorized Pump,"(-20.065292165410966, 22.37680368084026)",Not Functioning
WP065,Borehole,Clean,,,2020.0,Oxfam,Free,4.0,Motorized Pump,,Not Functioning
WP066,Well,Clean,37.0,23000.0,2000.0,,Free,24.0,,"(-22.12371547856097, 23.601982054197954)",Not Functioning
,Lake,,32.0,25000.0,1994.0,USAID,Free,30.0,Motorized Pump,"(-19.92292970700942, 26.771429651444258)",Not Functioning
,Well,,37.0,26000.0,2008.0,USAID,Pay per use,,Motorized Pump,"(-21.415808230590116, 22.526224365276676)",Functioning
WP069,Lake,,41.0,24000.0,2006.0,Red Cross,Free,18.0,Solar Pump,"(-18.10942314548933, 26.06571828062677)",Not Functioning
WP070,,,48.0,19000.0,2016.0,Oxfam,Free,8.0,Motorized Pump,,Functioning
WP071,Well,Clean,33.0,18000.0,1996.0,Oxfam,Free,,Motorized Pump,"(-18.883018265618404, 19.847165643860887)",Not Functioning
WP072,Borehole,Clean,37.0,23000.0,2018.0,Red Cross,Pay per use,6.0,,,Not Functioning
WP073,,Clean,,18000.0,1994.0,USAID,Free,30.0,Motorized Pump,,Not Functioning
WP074,Lake,Clean,45.0,22000.0,2019.0,Red Cross,Pay per use,5.0,Motorized Pump,,Not Functioning
,,Contaminated,45.0,24000.0,2000.0,USAID,Free,24.0,Solar Pump,"(-22.626517473510955, 26.96946410207822)",
WP076,Borehole,Contaminated,37.0,25000.0,2012.0,Red Cross,Free,12.0,Motorized Pump,"(-17.761947579939854, 26.98361095173393)",Functioning
,Well,Contaminated,36.0,24000.0,2007.0,USAID,Free,17.0,Motorized Pump,"(-18.14243574330005, 26.159483511694617)",Functioning
,Lake,Clean,35.0,22000.0,2000.0,,Free,24.0,Motorized Pump,"(-23.77700028033025, 19.888526308742584)",Not Functioning
WP079,Well,Contaminated,36.0,25000.0,2006.0,Oxfam,Free,18.0,Motorized Pump,"(-20.665818102946645, 24.397474320188017)",Functioning
WP080,Well,Contaminated,33.0,23000.0,2014.0,Oxfam,Pay per use,10.0,Motorized Pump,"(-19.194384250482717, 26.626890824092534)",Not Functioning
WP081,,,33.0,23000.0,2000.0,UNICEF,Free,24.0,Solar Pump,"(-22.458633220716727, 28.03845969631621)",Not Functioning
WP082,Well,Clean,47.0,,1998.0,Red Cross,Free,26.0,Motorized Pump,"(-21.323689181992155, 22.58467962087815)",Not Functioning
WP083,,Contaminated,,23000.0,1991.0,USAID,Free,,Motorized Pump,"(-20.192481775952462, 24.844348516485308)",Not Functioning
WP084,Well,Clean,36.0,24000.0,1992.0,Red Cross,,32.0,Motorized Pump,"(-22.237236646052782, 23.060121046816498)",Not Functioning
WP085,Well,Clean,41.0,30000.0,1994.0,Red Cross,Free,30.0,Motorized Pump,"(-22.96790693401784, 21.617817548459414)",Not Functioning
WP086,River,,48.0,20000.0,2015.0,Red Cross,Pay per use,9.0,Motorized Pump,"(-17.88433192437823, 24.041197614362666)",Not Functioning
WP087,Lake,Contaminated,40.0,24000.0,,USAID,Free,16.0,Hand Pump,"(-18.154288614524656, 28.444946477344462)",
WP088,Well,Contaminated,42.0,,2001.0,USAID,Free,23.0,Solar Pump,"(-18.855075897518788, 25.344494692647196)",Not Functioning
WP089,Well,Contaminated,40.0,26000.0,2010.0,Red Cross,,14.0,Motorized Pump,"(-20.379246180576402, 28.991938616982914)",Not Functioning
WP090,Well,,36.0,28000.0,,USAID,Free,13.0,Motorized Pump,"(-19.536630465506185, 28.876499126859045)",Not Functioning
WP091,,Clean,39.0,25000.0,2002.0,,Free,22.0,Solar Pump,,Not Functioning
WP092,Well,Contaminated,51.0,24000.0,2004.0,Red Cross,Pay per use,20.0,Solar Pump,"(-21.967695010479662, 19.4266831106478)",Not Functioning
WP093,Lake,,49.0,24000.0,1993.0,,,31.0,Hand Pump,"(-20.632704959864128, 25.925133954986766)",Not Functioning
WP094,Lake,Contaminated,,,2007.0,,Pay per use,17.0,Motorized Pump,,Not Functioning
WP095,Lake,Clean,45.0,26000.0,2018.0,USAID,Pay per use,6.0,Hand Pump,"(-23.663044805471213, 19.641366625869388)",Not Functioning
WP096,Well,Clean,,28000.0,1996.0,Red Cross,Pay per use,28.0,Solar Pump,"(-19.52985521464845, 27.664596378800812)",Not Functioning
WP097,Well,Contaminated,35.0,18000.0,2015.0,Red Cross,Pay per use,9.0,Solar Pump,"(-21.532572249587172, 20.160052911400605)",Not Functioning
WP098,,Contaminated,,25000.0,,USAID,Pay per use,21.0,Motorized Pump,"(-20.68781317570201, 25.26272250792511)",
WP099,River,Contaminated,,26000.0,2004.0,USAID,Pay per use,20.0,,"(-21.86822735564472, 19.110938115352013)",Functioning
WP100,Well,Contaminated,41.0,20000.0,2019.0,USAID,Pay per use,5.0,Motorized Pump,"(-18.79806527981161, 26.485501004084508)",Not Functioning
WP101,Well,Clean,49.0,20000.0,2010.0,Red Cross,Pay per use,,Solar Pump,"(-19.103503041968807, 26.395127733303188)",Functioning
WP102,Well,Contaminated,,24000.0,2019.0,Red Cross,,5.0,Motorized Pump,"(-19.305776429729544, 26.348258810033414)",Not Functioning
WP103,River,Contaminated,35.0,22000.0,2015.0,USAID,Pay per use,9.0,Motorized Pump,"(-23.252048012663522, 26.23268423623076)",Not Functioning
WP104,Lake,Contaminated,37.0,,2003.0,Red Cross,Pay per use,21.0,Solar Pump,"(-22.71462870440675, 20.40785620802348)",Not Functioning
WP105,Lake,Clean,41.0,21000.0,1998.0,UNICEF,Free,26.0,Motorized Pump,"(-23.46717318365694, 22.34302546761509)",Not Functioning
WP106,Well,,41.0,26000.0,1999.0,Red Cross,,25.0,Motorized Pump,"(-23.84662515891122, 20.304377196828355)",Not Functioning
WP107,,,47.0,23000.0,1993.0,Red Cross,,31.0,Motorized Pump,"(-19.814430429850223, 26.848379702532792)",
WP108,Lake,Contaminated,43.0,24000.0,1999.0,Red Cross,Pay per use,25.0,Solar Pump,"(-21.066145704121034, 22.123986352747945)",Not Functioning
WP109,Borehole,Clean,35.0,,,USAID,Free,6.0,,"(-21.085484094030775, 24.884264342051647)",Not Functioning
WP110,,,35.0,23000.0,2013.0,USAID,Free,11.0,Hand Pump,"(-23.152519556187666, 22.720452761052044)",Not Functioning
WP111,Well,Contaminated,48.0,24000.0,1999.0,USAID,Free,25.0,Motorized Pump,"(-19.690436205371327, 24.47249656144829)",Functioning
,Well,Contaminated,34.0,26000.0,2011.0,UNICEF,Pay per use,13.0,Motorized Pump,"(-19.99160434090698, 27.469677531933346)",Functioning
